Non-Proneural
IKBKB	0.462693712533792	0.32496997086630164	0.6691316822589574	0.7913863714778767	0.9236537076373694	0.28042802085298013	0.9893638077213007	0.7913863714778767	0.35211131129273743	0.0	0.7693343396423493	0.09989046107821486	0.2263841073428875	0.7434034675809434	0.2503272398792771	0.9295765725995103	0.7179807993407101	0.3378047173174674	0.14440604329232543	0.6459458273849513	0.401806579802229	0.45821956963896504
AKT1	0.09623873346218348	0.9394573195254868	0.596042482308045	0.658351487001038	0.7892864524486276	0.9995767095549086	0.9976021146917821	0.9399628005049946	0.46918562928650953	0.7693343396423493	0.0	0.3273357378701274	0.6239905217162809	0.9398833897765813	0.46425991636145325	0.9909854583894526	0.9967279280779114	0.3222849929284728	0.9514809018965609	0.06756300576801355	0.8488236772559132	0.8761506848448278
PIK3CA	0.49045028618232955	0.03945383962064908	0.3907676626064136	0.9569558696315476	0.9979461347730066	0.997513414140291	0.7181866011074862	0.9999999772631966	0.8512985778699284	0.09989046107821486	0.3273357378701274	0.0	0.9938045753708781	0.7984197066744417	0.38971036720426344	0.03836399748018826	0.6995150662243338	0.998898403985183	0.9982204895957347	0.9744105619703113	0.0355582131751736	0.8134609843005649
GH1	0.09494717653529527	0.7850345212693394	0.488252395454144	0.18048021175612783	0.7581792940832122	0.9747686389815283	0.29267655131362424	0.999996471833937	0.1610544946039839	0.2263841073428875	0.6239905217162809	0.9938045753708781	0.0	0.6885177090058137	0.0947535790627142	0.8582074258421244	0.43312418001953557	0.9999514516527561	0.011536213549585561	0.45963929483197363	0.9508753011643025	0.5291662009019306
PPP2CA	0.07718578877800009	0.5887685002217276	0.8497288980709725	0.9999999989759322	0.16228654867915415	0.03788902184755327	0.8024372126605648	0.7801798387072008	0.2320871921083716	0.7434034675809434	0.9398833897765813	0.7984197066744417	0.6885177090058137	0.0	0.8088094362620044	0.9999164163931613	0.8580647346251966	0.16936166799377883	0.009547730006778998	0.6614780501179459	0.7909810422770579	0.8793744846521042
FASLG	0.3862726485621786	0.24346171626763446	0.034106613572967404	0.24021133403492057	0.26705610152756787	0.27653550429703944	0.049222789727323524	0.08539411427558896	0.7612168802814289	0.2503272398792771	0.46425991636145325	0.38971036720426344	0.0947535790627142	0.8088094362620044	0.0	0.3755222900301358	0.1504986095399905	0.6733333738243551	0.7467763524239808	0.9975491464776529	0.06834466828744701	0.12094673398028855
HSP90AA1	0.7886577478357132	0.4346347913242401	0.9791660752531166	0.13613189077689491	0.43823523701196154	0.38187640735386985	0.018801000529935163	0.4294286427978713	0.440430586189124	0.9295765725995103	0.9909854583894526	0.03836399748018826	0.8582074258421244	0.9999164163931613	0.3755222900301358	0.0	0.23952777853319573	0.1677447447557352	0.11991190425290632	0.1661711135673597	0.9295765725995103	0.9782930775365595
YWHAH	0.5258024715193556	0.18760202676306192	0.08757515079700307	0.9989593319836744	0.8642327197325003	0.08933016571566321	0.5578225509949954	0.8892041406200658	0.8815272566156185	0.7179807993407101	0.9967279280779114	0.6995150662243338	0.43312418001953557	0.8580647346251966	0.1504986095399905	0.23952777853319573	0.0	0.4176445733633203	0.9986949810726846	0.9016107732061497	0.6278943365922809	0.7379773052961341
BAD	0.6395012432084837	0.998899916646982	0.13615182311172946	0.7307821834488373	0.7095142284851519	0.904464557017184	0.9989179612869996	0.9998245568867947	0.5773305535593245	0.3378047173174674	0.3222849929284728	0.998898403985183	0.9999514516527561	0.16936166799377883	0.6733333738243551	0.1677447447557352	0.4176445733633203	0.0	0.8677579787707048	0.9914490015422699	0.5388414785252369	0.8667399239872524
NFKB1	0.2536926835328954	0.8959313444964974	0.1349073166286041	0.7665117853477966	0.8806131562429392	0.7398483011749861	0.9744909422532106	0.7665117853477966	0.2061427642327749	0.14440604329232543	0.9514809018965609	0.9982204895957347	0.011536213549585561	0.009547730006778998	0.7467763524239808	0.11991190425290632	0.9986949810726846	0.8677579787707048	0.0	0.9791341778421214	0.14440604329232543	0.9999994219456009
PIK3CG	0.697196773332858	0.9789538383754925	0.9616799014442352	0.9687417722312677	0.023257621152179997	0.9231438159879334	0.7995765871170419	0.6454848823369083	0.5325616642054569	0.6459458273849513	0.06756300576801355	0.9744105619703113	0.45963929483197363	0.6614780501179459	0.9975491464776529	0.1661711135673597	0.9016107732061497	0.9914490015422699	0.9791341778421214	0.0	0.02367974614900059	0.6586430591261665
PIK3R1	0.09358550085680806	0.14911580008016545	0.4658557790244213	0.8473958208750401	0.07164907639880447	0.6196215973003139	0.011646100565607331	0.8473958208750401	0.025450516816311497	0.401806579802229	0.8488236772559132	0.0355582131751736	0.9508753011643025	0.7909810422770579	0.06834466828744701	0.9295765725995103	0.6278943365922809	0.5388414785252369	0.14440604329232543	0.02367974614900059	0.0	0.5143963150914517
NFKBIA	0.603990570756864	0.07795143668889526	0.5357283703169159	0.4231610693662493	0.9533407104990069	0.9959818706982151	0.9718805789426148	0.44730034143885034	0.03322215810071427	0.45821956963896504	0.8761506848448278	0.8134609843005649	0.5291662009019306	0.8793744846521042	0.12094673398028855	0.9782930775365595	0.7379773052961341	0.8667399239872524	0.9999994219456009	0.6586430591261665	0.5143963150914517	0.0

Proneural
Gene	CASP9	IKBKG	FOXO4	CHUK	FOXO1	FOXO3	RELA	PDPK1	GHR	IKBKB	AKT1	PIK3CA	GH1	PPP2CA	FASLG	HSP90AA1	YWHAH	BAD	NFKB1	PIK3CG	PIK3R1	NFKBIA
CASP9	0.0	0.00593902243552058	0.6162123503949924	0.6821650948529272	0.09130018916294169	0.8078303034221216	0.5713772263469995	0.6072171897893789	0.8400376123764801	0.9474598347983553	0.25969995266050283	0.08311495893447052	0.19583600966737746	0.5074300521662476	0.38054713757351344	0.2419375732649769	0.08092969774256331	0.615351566834105	0.36032107074954345	0.19513633087293392	0.44439796737060144	0.4892369464354003
IKBKG	0.00593902243552058	0.0	0.6736118670076687	0.7092617780246234	0.5307855550121259	0.34427186867180337	0.9815436111340324	0.2110488198154281	0.40280463478866535	0.28508319859112374	0.6633577291055666	0.6065483897861595	0.4667166901065207	0.510938405298156	0.6011047987210113	0.48227748550112937	0.6263677549778208	0.9485697785292342	0.5714116389763108	0.45034964791474175	0.7782387360556913	0.017558030157566407
FOXO4	0.6162123503949924	0.6736118670076687	0.0	0.5301118708393673	0.41487420206935366	0.9042540380192174	0.9613305516797591	0.4923459124703782	0.465799864104141	0.28599881695408425	0.5685343701064844	0.058492435850227786	0.28992163876524313	0.8426437297641041	0.058863945967775444	0.30643501485240576	0.08323498858935308	0.6763132592094014	0.34127005846349634	0.2808394397986993	0.46878300184883326	0.6210682190770981
CHUK	0.6821650948529272	0.7092617780246234	0.5301118708393673	0.0	0.3158378538168023	0.8366151027677513	0.1211333535986695	0.6268003197063748	0.6275733495963847	0.7430170510408791	0.9952393682165026	0.8242721227851885	0.9971872424920644	0.9690818601933793	0.06890655303959059	0.997188657848078	0.456709797110155	0.07823373014266011	0.9994705024310172	0.9922451633722655	0.9999791477749375	0.6076225291386053
FOXO1	0.09130018916294169	0.5307855550121259	0.41487420206935366	0.3158378538168023	0.0	0.10192907186186806	0.30288925855215276	0.834194607615474	0.219035496236887	0.26438225832522777	0.39712588733004284	0.47852929191961824	0.28501396589918804	0.7401598143995698	0.24144419867220024	0.8367062420504727	0.319552681514915	0.17128327979579294	0.16266681948353512	0.17270629785944647	0.29478761553747634	0.750662305409558
FOXO3	0.8078303034221216	0.34427186867180337	0.9042540380192174	0.8366151027677513	0.10192907186186806	0.0	0.21198095819131013	0.9503754867624106	0.5009294042162801	0.1360483098509283	0.8591776955377447	0.9530620273979329	0.8780190303790678	0.26652666344703935	0.07656088913572712	0.9181449218704182	0.12080345993520925	0.6712881768613134	0.9411178459092981	0.8695585127923194	0.9868274294667714	0.05815774166464449
RELA	0.5713772263469995	0.9815436111340324	0.9613305516797591	0.1211333535986695	0.30288925855215276	0.21198095819131013	0.0	0.6853411164719199	0.8069013311801155	0.8681526220520547	0.01616026933048953	0.3440016141214156	0.0770512984049857	0.42694532052928813	0.5444847385788754	0.0770512984049857	0.17496445626460178	0.9999319327006904	0.18316226515866152	0.2771252431570692	0.010025167185134132	0.9888645539484685
PDPK1	0.6072171897893789	0.2110488198154281	0.4923459124703782	0.6268003197063748	0.834194607615474	0.9503754867624106	0.6853411164719199	0.0	0.219035496236887	0.26438225832522777	0.16266681948353512	0.9992673863544548	0.8367062420504727	0.4009660268606773	0.5813217325104342	0.28501396589918804	0.8056181015134323	0.7002941154363531	0.16266681948353512	0.17270629785944647	0.29478761553747634	0.021613255440858792
GHR	0.8400376123764801	0.40280463478866535	0.465799864104141	0.6275733495963847	0.219035496236887	0.5009294042162801	0.8069013311801155	0.219035496236887	0.0	0.8547978826271244	0.4095987751839867	0.04831083242024892	0.42571590265203274	0.49883201544735933	0.2235232798726392	0.42571590265203274	0.04248268765630081	0.3284966997521077	0.5721735970063794	0.5494795346768165	0.7525759745767469	0.9000541277808928
IKBKB	0.9474598347983553	0.28508319859112374	0.28599881695408425	0.7430170510408791	0.26438225832522777	0.1360483098509283	0.8681526220520547	0.26438225832522777	0.8547978826271244	0.0	0.6831394404749063	0.7826940032855962	0.2964966864169801	0.7316435077707683	0.5599052035333819	0.3007678229474209	0.13679879471457512	0.8285110826892869	0.23081428715884345	0.2546244331486682	0.3961971704294014	0.982821212474233
AKT1	0.25969995266050283	0.6633577291055666	0.5685343701064844	0.9952393682165026	0.39712588733004284	0.8591776955377447	0.01616026933048953	0.16266681948353512	0.4095987751839867	0.6831394404749063	0.0	0.16369182927846704	0.9979835467678364	0.3215524423036209	0.026799311992983132	0.998723741329468	0.41728955779803256	0.27324697327607306	0.9995889253786501	0.9936171552247249	0.9999886184305022	0.09904734410718963
PIK3CA	0.08311495893447052	0.6065483897861595	0.058492435850227786	0.8242721227851885	0.47852929191961824	0.9530620273979329	0.3440016141214156	0.9992673863544548	0.04831083242024892	0.7826940032855962	0.16369182927846704	0.0	0.14155869349619554	0.4336662185845619	0.4438640456004679	0.13676302122902828	0.15124574465234364	0.6667627021056969	0.3118564497538515	0.5099472798428046	0.3351351678152579	0.09705333073330791
GH1	0.19583600966737746	0.4667166901065207	0.28992163876524313	0.9971872424920644	0.28501396589918804	0.8780190303790678	0.0770512984049857	0.8367062420504727	0.42571590265203274	0.2964966864169801	0.9979835467678364	0.14155869349619554	0.0	0.29912820150783337	0.38386508334468483	0.99924512107064	0.4191039066005704	0.06443998367903958	0.99989756224034	0.9975998586381578	0.9999984394728288	0.1586532180602056
PPP2CA	0.5074300521662476	0.510938405298156	0.8426437297641041	0.9690818601933793	0.7401598143995698	0.26652666344703935	0.42694532052928813	0.4009660268606773	0.49883201544735933	0.7316435077707683	0.3215524423036209	0.4336662185845619	0.29912820150783337	0.0	0.4507219389929832	0.5812957295901356	0.06206110117018748	0.722586784792343	0.4491615056932574	0.2932706233260689	0.5861096413549253	0.12411786007311854
FASLG	0.38054713757351344	0.6011047987210113	0.058863945967775444	0.06890655303959059	0.24144419867220024	0.07656088913572712	0.5444847385788754	0.5813217325104342	0.2235232798726392	0.5599052035333819	0.026799311992983132	0.4438640456004679	0.38386508334468483	0.4507219389929832	0.0	0.24573269151948063	0.24833226310723633	0.06118571934079586	0.04461504679859152	0.7783317523762069	0.07265158312744513	0.009737645854136945
HSP90AA1	0.2419375732649769	0.48227748550112937	0.30643501485240576	0.997188657848078	0.8367062420504727	0.9181449218704182	0.0770512984049857	0.28501396589918804	0.42571590265203274	0.3007678229474209	0.998723741329468	0.13676302122902828	0.99924512107064	0.5812957295901356	0.24573269151948063	0.0	0.4191039066005704	0.06443998367903947	0.99989756224034	0.9973313155018221	0.9999984394728288	0.1586532180602056
YWHAH	0.08092969774256331	0.6263677549778208	0.08323498858935308	0.456709797110155	0.319552681514915	0.12080345993520925	0.17496445626460178	0.8056181015134323	0.04248268765630081	0.13679879471457512	0.41728955779803256	0.15124574465234364	0.4191039066005704	0.06206110117018748	0.24833226310723633	0.4191039066005704	0.0	0.43841476465396323	0.4706792584358014	0.9793057463776131	0.6589376366228985	0.6657582225775989
BAD	0.615351566834105	0.9485697785292342	0.6763132592094014	0.07823373014266011	0.17128327979579294	0.6712881768613134	0.9999319327006904	0.7002941154363531	0.3284966997521077	0.8285110826892869	0.27324697327607306	0.6667627021056969	0.06443998367903958	0.722586784792343	0.06118571934079586	0.06443998367903947	0.43841476465396323	0.0	0.03928243516079588	0.3035620497239353	0.06366731762225086	0.5737092318111214
NFKB1	0.36032107074954345	0.5714116389763108	0.34127005846349634	0.9994705024310172	0.16266681948353512	0.9411178459092981	0.18316226515866152	0.16266681948353512	0.5721735970063794	0.23081428715884345	0.9995889253786501	0.3118564497538515	0.99989756224034	0.4491615056932574	0.04461504679859152	0.99989756224034	0.4706792584358014	0.03928243516079588	0.0	0.9995331411073266	0.9999999476486127	0.5803960921624498
PIK3CG	0.19513633087293392	0.45034964791474175	0.2808394397986993	0.9922451633722655	0.17270629785944647	0.8695585127923194	0.2771252431570692	0.17270629785944647	0.5494795346768165	0.2546244331486682	0.9936171552247249	0.5099472798428046	0.9975998586381578	0.2932706233260689	0.7783317523762069	0.9973313155018221	0.9793057463776131	0.3035620497239353	0.9995331411073266	0.0	0.9999780149300743	0.36516043827820566
PIK3R1	0.44439796737060144	0.7782387360556913	0.46878300184883326	0.9999791477749375	0.29478761553747634	0.9868274294667714	0.010025167185134132	0.29478761553747634	0.7525759745767469	0.3961971704294014	0.9999886184305022	0.3351351678152579	0.9999984394728288	0.5861096413549253	0.07265158312744513	0.9999984394728288	0.6589376366228985	0.06366731762225086	0.9999999476486127	0.9999780149300743	0.0	0.24326055934307322
NFKBIA	0.4892369464354003	0.017558030157566407	0.6210682190770981	0.6076225291386053	0.750662305409558	0.05815774166464449	0.9888645539484685	0.021613255440858792	0.9000541277808928	0.982821212474233	0.09904734410718963	0.09705333073330791	0.1586532180602056	0.12411786007311854	0.009737645854136945	0.1586532180602056	0.6657582225775989	0.5737092318111214	0.5803960921624498	0.36516043827820566	0.24326055934307322	0.0

Summary
Gene	CASP9	IKBKG	FOXO4	CHUK	FOXO1	FOXO3	RELA	PDPK1	GHR	IKBKB	AKT1	PIK3CA	GH1	PPP2CA	FASLG	HSP90AA1	YWHAH	BAD	NFKB1	PIK3CG	PIK3R1	NFKBIA
CASP9	None	None	None	None	None	Proneural	None	None	Proneural	Proneural	None	None	None	None	None	None	None	None	None	None	None	None
IKBKG	None	None	None	None	None	None	Both	None	None	None	Non-Proneural	None	None	None	None	None	None	Both	Non-Proneural	Non-Proneural	None	None
FOXO4	None	None	None	None	None	Proneural	Both	None	None	None	None	None	None	Both	None	Non-Proneural	None	None	None	Non-Proneural	None	None
CHUK	None	None	None	None	None	Proneural	Non-Proneural	Non-Proneural	None	None	Proneural	Both	Proneural	Both	None	Proneural	Non-Proneural	None	Proneural	Both	Both	None
FOXO1	None	None	None	None	None	Non-Proneural	Non-Proneural	Both	Non-Proneural	Non-Proneural	None	Non-Proneural	None	None	None	Proneural	Non-Proneural	None	Non-Proneural	None	None	Non-Proneural
FOXO3	Proneural	None	Proneural	Proneural	Non-Proneural	None	Non-Proneural	Both	None	None	Both	Both	Both	None	None	Proneural	None	Non-Proneural	Proneural	Both	Proneural	Non-Proneural
RELA	None	Both	Both	Non-Proneural	Non-Proneural	Non-Proneural	None	Non-Proneural	Both	Both	Non-Proneural	None	None	Non-Proneural	None	None	None	Both	Non-Proneural	None	None	Both
PDPK1	None	None	None	Non-Proneural	Both	Both	Non-Proneural	None	None	None	Non-Proneural	Both	Both	None	None	None	Both	Non-Proneural	None	None	Non-Proneural	None
GHR	Proneural	None	None	None	Non-Proneural	None	Both	None	None	Proneural	None	Non-Proneural	None	None	None	None	Non-Proneural	None	None	None	None	Proneural
IKBKB	Proneural	None	None	None	Non-Proneural	None	Both	None	Proneural	None	None	None	None	None	None	Non-Proneural	None	Proneural	None	None	None	Proneural
AKT1	None	Non-Proneural	None	Proneural	None	Both	Non-Proneural	Non-Proneural	None	None	None	None	Proneural	Non-Proneural	None	Both	Non-Proneural	None	Both	Proneural	Both	Non-Proneural
PIK3CA	None	None	None	Both	Non-Proneural	Both	None	Both	Non-Proneural	None	None	None	Non-Proneural	None	None	None	None	Non-Proneural	Non-Proneural	Non-Proneural	None	Non-Proneural
GH1	None	None	None	Proneural	None	Both	None	Both	None	None	Proneural	Non-Proneural	None	None	None	Both	None	Non-Proneural	Proneural	Proneural	Both	None
PPP2CA	None	None	Both	Both	None	None	Non-Proneural	None	None	None	Non-Proneural	None	None	None	Non-Proneural	Non-Proneural	Non-Proneural	None	None	None	None	Non-Proneural
FASLG	None	None	None	None	None	None	None	None	None	None	None	None	None	Non-Proneural	None	None	None	None	None	Non-Proneural	None	None
HSP90AA1	None	None	Non-Proneural	Proneural	Proneural	Proneural	None	None	None	Non-Proneural	Both	None	Both	Non-Proneural	None	None	None	None	Proneural	Proneural	Both	Non-Proneural
YWHAH	None	None	None	Non-Proneural	Non-Proneural	None	None	Both	Non-Proneural	None	Non-Proneural	None	None	Non-Proneural	None	None	None	None	Non-Proneural	Both	None	None
BAD	None	Both	None	None	None	Non-Proneural	Both	Non-Proneural	None	Proneural	None	Non-Proneural	Non-Proneural	None	None	None	None	None	Non-Proneural	Non-Proneural	None	Non-Proneural
NFKB1	None	Non-Proneural	None	Proneural	Non-Proneural	Proneural	Non-Proneural	None	None	None	Both	Non-Proneural	Proneural	None	None	Proneural	Non-Proneural	Non-Proneural	None	Both	Proneural	Non-Proneural
PIK3CG	None	Non-Proneural	Non-Proneural	Both	None	Both	None	None	None	None	Proneural	Non-Proneural	Proneural	None	Non-Proneural	Proneural	Both	Non-Proneural	Both	None	Proneural	None
PIK3R1	None	None	None	Both	None	Proneural	None	Non-Proneural	None	None	Both	None	Both	None	None	Both	None	None	Proneural	Proneural	None	None
NFKBIA	None	None	None	None	Non-Proneural	Non-Proneural	Both	None	Proneural	Proneural	Non-Proneural	Non-Proneural	None	Non-Proneural	None	Non-Proneural	None	Non-Proneural	Non-Proneural	None	None	None
