Non-Proneural
ATF2	0.2361607826408456	0.2692270942701095	0.1954410427328921	0.998590696865241	0.9299205099987697	0.08763365090364794	0.8397069015118217	0.49122250734241635	0.763673758512984	0.49691222261023893	0.5347530875032748	0.9611338178404029	0.0	0.41970762472422163	0.025477667163295692	0.012494842599641953	0.6943363774941422
IL4	0.2496413924510963	0.20795286853075057	0.8467747375432249	0.051839900742812306	0.013560731611878096	0.1984237106890857	0.11498230161740597	0.9438017158996391	0.6737804627928309	0.6560410945255606	0.6049654181098988	0.5309948162383242	0.41970762472422163	0.0	0.2274124568608925	0.9056273852343114	0.6206791248061437
NFKB1	0.8781417907343996	0.37729334370741063	0.14097963753643838	0.7665117853477966	0.9976707294287145	0.9990514383379769	0.9744909422532106	0.9676302373742748	0.14440604329232543	0.21459627365434653	0.8120417837110361	0.44006203209368044	0.025477667163295692	0.2274124568608925	0.0	0.9999994219456009	0.32961573675928957
NFKBIA	0.9999468775246579	0.03440401019842976	0.9898543954343544	0.4231610693662493	0.7753969907385447	0.037169805600414274	0.9718805789426148	0.8123829079260438	0.45821956963896504	0.9944993290701677	0.3205011122768844	0.011072090007431257	0.012494842599641953	0.9056273852343114	0.9999994219456009	0.0	0.15907053562022555
IL2	0.4952517109806539	0.010934477385487917	0.8575825013870271	0.06417205244080826	0.3948148967497833	0.3871360786744078	0.07937438565212618	0.4760826325844616	0.982324325756375	0.9417855794644421	0.8322307129189277	0.5665138147676264	0.6943363774941422	0.6206791248061437	0.32961573675928957	0.15907053562022555	0.0

Proneural
Gene	JUN	MAP3K5	MAPK8	CHUK	MAPK14	MAP3K1	RELA	TNFRSF9	IKBKB	MAP4K5	IFNG	TRAF2	ATF2	IL4	NFKB1	NFKBIA	IL2
JUN	0.0	0.11713161065299793	0.09798840735393488	0.43570110621594926	0.004419637883260719	0.6245000174816083	0.9068369316208537	0.0	0.4103470523421282	0.017319290783562313	0.715005841225193	0.23805529903403866	0.11434574481746329	0.11716474452171988	0.1559352091937768	0.8156089805913354	0.3936357335704872
MAP3K5	0.11713161065299793	0.0	0.0639103125821171	0.9513506813455931	0.45193668784002516	0.14246520944191987	0.32329299933268496	0.0	0.8857205676832449	0.5140899227853285	0.6097231202447592	0.8529021966003846	0.6461127971586021	0.4834483773271663	0.9456402750149616	0.9996678307811665	0.8712788710171249
MAPK8	0.09798840735393488	0.0639103125821171	0.0	0.4370864362315974	0.9892099661976184	0.06472500677884818	0.35389867763119254	0.0	0.21259136692131897	0.14944142600634502	0.4462240607963457	0.6254810313006995	0.4677613228062809	0.1719257655809544	0.48989324791578137	0.3739690743997215	0.09231177385591283
CHUK	0.43570110621594926	0.9513506813455931	0.4370864362315974	0.0	0.6044181494845927	0.4076351091685251	0.1211333535986695	0.0	0.7430170510408791	0.8807721408302802	0.10815920226092812	0.9911583951944544	0.8463962962104422	0.8339074603996361	0.9994705024310172	0.6076225291386053	0.902095382022431
MAPK14	0.004419637883260719	0.45193668784002516	0.9892099661976184	0.6044181494845927	0.0	0.467829128281246	0.018698361259736895	0.0	0.7435834392851051	0.13979671072559474	0.3519918080524582	0.6972638555855976	0.35147646294698653	0.3300223738704967	0.41026324634097877	0.026962080275899636	0.06714078339087637
MAP3K1	0.6245000174816083	0.14246520944191987	0.06472500677884818	0.4076351091685251	0.467829128281246	0.0	0.8003966012086714	0.0	0.27494209928676705	0.8119554520424002	0.2107915023034408	0.3680184107674803	0.18784676154334756	0.08620733743822773	0.3958631144405982	0.89499449047367	0.07083511154513433
RELA	0.9068369316208537	0.32329299933268496	0.35389867763119254	0.1211333535986695	0.018698361259736895	0.8003966012086714	0.0	0.0	0.8681526220520547	0.36640913217402726	0.9558261705164472	0.6873725340533373	0.8675824209212852	0.5103740028458342	0.18316226515866152	0.9888645539484685	0.18316226515866152
TNFRSF9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IKBKB	0.4103470523421282	0.8857205676832449	0.21259136692131897	0.7430170510408791	0.7435834392851051	0.27494209928676705	0.8681526220520547	0.0	0.0	0.19754807581483336	0.16033966910373487	0.22867846011791526	0.6804405545878967	0.029512162366060024	0.23081428715884345	0.982821212474233	0.8299485151690715
MAP4K5	0.017319290783562313	0.5140899227853285	0.14944142600634502	0.8807721408302802	0.13979671072559474	0.8119554520424002	0.36640913217402726	0.0	0.19754807581483336	0.0	0.10926216195748828	0.8539863765889117	0.037507874457215484	0.6451499370666736	0.9446019917879807	0.11290758143439217	0.8022279397715142
IFNG	0.715005841225193	0.6097231202447592	0.4462240607963457	0.10815920226092812	0.3519918080524582	0.2107915023034408	0.9558261705164472	0.0	0.16033966910373487	0.10926216195748828	0.0	0.23232903699077567	0.5476179167227637	0.7807071703202423	0.618715476455942	0.7505412073652123	0.04067079065720669
TRAF2	0.23805529903403866	0.8529021966003846	0.6254810313006995	0.9911583951944544	0.6972638555855976	0.3680184107674803	0.6873725340533373	0.0	0.22867846011791526	0.8539863765889117	0.23232903699077567	0.0	0.5292216743843156	0.9507909752065992	0.9994698056873258	0.12426193706996247	0.8418852811945392
ATF2	0.11434574481746329	0.6461127971586021	0.4677613228062809	0.8463962962104422	0.35147646294698653	0.18784676154334756	0.8675824209212852	0.0	0.6804405545878967	0.037507874457215484	0.5476179167227637	0.5292216743843156	0.0	0.14388757491107595	0.7346168385229697	0.05815545401382871	0.03567557491249873
IL4	0.11716474452171988	0.4834483773271663	0.1719257655809544	0.8339074603996361	0.3300223738704967	0.08620733743822773	0.5103740028458342	0.0	0.029512162366060024	0.6451499370666736	0.7807071703202423	0.9507909752065992	0.14388757491107595	0.0	0.9430726611267609	0.6480046383038724	0.5923157454238968
NFKB1	0.1559352091937768	0.9456402750149616	0.48989324791578137	0.9994705024310172	0.41026324634097877	0.3958631144405982	0.18316226515866152	0.0	0.23081428715884345	0.9446019917879807	0.618715476455942	0.9994698056873258	0.7346168385229697	0.9430726611267609	0.0	0.5803960921624498	0.9419200366976759
NFKBIA	0.8156089805913354	0.9996678307811665	0.3739690743997215	0.6076225291386053	0.026962080275899636	0.89499449047367	0.9888645539484685	0.0	0.982821212474233	0.11290758143439217	0.7505412073652123	0.12426193706996247	0.05815545401382871	0.6480046383038724	0.5803960921624498	0.0	0.6843479065580512
IL2	0.3936357335704872	0.8712788710171249	0.09231177385591283	0.902095382022431	0.06714078339087637	0.07083511154513433	0.18316226515866152	0.0	0.8299485151690715	0.8022279397715142	0.04067079065720669	0.8418852811945392	0.03567557491249873	0.5923157454238968	0.9419200366976759	0.6843479065580512	0.0

Summary
Gene	JUN	MAP3K5	MAPK8	CHUK	MAPK14	MAP3K1	RELA	TNFRSF9	IKBKB	MAP4K5	IFNG	TRAF2	ATF2	IL4	NFKB1	NFKBIA	IL2
JUN	None	Non-Proneural	None	Non-Proneural	None	Non-Proneural	Both	None	Non-Proneural	Non-Proneural	Non-Proneural	None	None	None	Non-Proneural	Both	None
MAP3K5	Non-Proneural	None	Non-Proneural	Proneural	None	None	None	None	Proneural	None	None	Proneural	None	None	Proneural	Proneural	Proneural
MAPK8	None	Non-Proneural	None	None	Both	None	None	Non-Proneural	None	None	None	None	None	Non-Proneural	None	Non-Proneural	Non-Proneural
CHUK	Non-Proneural	Proneural	None	None	Non-Proneural	Non-Proneural	Non-Proneural	None	None	Both	None	Both	Both	Proneural	Proneural	None	Proneural
MAPK14	None	None	Both	Non-Proneural	None	Non-Proneural	None	None	None	None	None	None	Non-Proneural	None	Non-Proneural	None	None
MAP3K1	Non-Proneural	None	None	Non-Proneural	Non-Proneural	None	Both	Non-Proneural	Non-Proneural	Both	Non-Proneural	None	None	None	Non-Proneural	Proneural	None
RELA	Both	None	None	Non-Proneural	None	Both	None	None	Both	Non-Proneural	Both	Non-Proneural	Both	None	Non-Proneural	Both	None
TNFRSF9	None	None	Non-Proneural	None	None	Non-Proneural	None	None	None	None	None	None	None	Non-Proneural	Non-Proneural	Non-Proneural	None
IKBKB	Non-Proneural	Proneural	None	None	None	Non-Proneural	Both	None	None	None	None	None	None	None	None	Proneural	Both
MAP4K5	Non-Proneural	None	None	Both	None	Both	Non-Proneural	None	None	None	None	Both	None	None	Proneural	Non-Proneural	Both
IFNG	Non-Proneural	None	None	None	None	Non-Proneural	Both	None	None	None	None	None	None	None	Non-Proneural	None	Non-Proneural
TRAF2	None	Proneural	None	Both	None	None	Non-Proneural	None	None	Both	None	None	Non-Proneural	Proneural	Proneural	None	Proneural
ATF2	None	None	None	Both	Non-Proneural	None	Both	None	None	None	None	Non-Proneural	None	None	None	None	None
IL4	None	None	Non-Proneural	Proneural	None	None	None	Non-Proneural	None	None	None	Proneural	None	None	Proneural	Non-Proneural	None
NFKB1	Non-Proneural	Proneural	None	Proneural	Non-Proneural	Non-Proneural	Non-Proneural	Non-Proneural	None	Proneural	Non-Proneural	Proneural	None	Proneural	None	Non-Proneural	Proneural
NFKBIA	Both	Proneural	Non-Proneural	None	None	Proneural	Both	Non-Proneural	Proneural	Non-Proneural	None	None	None	Non-Proneural	Non-Proneural	None	None
IL2	None	Proneural	Non-Proneural	Proneural	None	None	None	None	Both	Both	Non-Proneural	Proneural	None	None	Proneural	None	None
